MSOA,Total_Population,Total_Households,Total_Population_16_and_over,Total_Population_16_to_74,Total_Employment_16_to_74,Total_Population_in_Households_16_and_over,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_44,Age_45_to_59,Age_60_to_64,Age_65_to_74,Age_75_to_84,Age_85_to_89,Age_90_and_over,White_British_and_Irish,White_Other_White,Mixed_or_multiple_ethnic_group,Asian_or_Asian_British_Indian,Asian_or_Asian_British_Pakistani,Asian_or_Asian_British_Bangladeshi,Asian_or_Asian_British_Chinese,Asian_or_Asian_British_Other_Asian,Black_or_African_or_Caribbean_or_Black_British_African,Arab_or_Other_Ethnic_Groups,Christian,Other_religion,No_religion,Religion_not_stated,Main_language_is_English_or_Main_language_not_English__Can_speak_English_very_well,Main_language_is_not_English__Can_speak_English_well,Main_language_is_not_English__Cannot_speak_English_well,Main_language_is_not_English__Cannot_speak_English,All_household_members_have_the_same_ethnic_group,Different_ethnic_groups_between_the_generations_only,Different_ethnic_groups_within_partnerships_(whether_or_not_different_ethnic_groups_between_generations),Any_other_combination_of_multiple_ethnic_groups,Owned_and_Shared_Ownership,Social_rented,Private_rented,Living_rent_free,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,No_qualifications,Highest_level_of_qualification_Level_1_Level_2_or_Apprenticeship,Highest_level_of_qualification_Level_3_qualifications,Highest_level_of_qualification_Level_4_qualifications_and_above,Schoolchildren_and_fulltime_students_Age_16_and_over,No_cars_or_vans_in_household,1_car_or_van_in_household,2_or_more_cars_or_vans_in_household,Work_mainly_at_or_from_home,Public_Transport,Private_Transport,On_foot_Bicycle_or_Other,Managers_directors_and_senior_officials,Professional_occupations,Associate_professional_and_technical_occupations,Administrative_and_secretarial_occupations,Skilled_trades_occupations,Caring_leisure_and_other_service_occupations,Sales_and_customer_service_occupations,Process_plant_and_machine_operatives,Elementary_occupations,Median_House_Price_201415,Average_Annual_Income_201516,Number_Births_201617
E02000340,6088,2799,5212,4541,3042,5210,305,229,280,329,455,433,1218,1191,385,592,462,152,57,4750,434,153,175,15,40,56,102,273,90,3793,459,1408,428,5651,179,53,6,1415,79,162,77,1897,412,450,40,2733,2204,857,227,67,1106,1676,561,1555,373,878,1241,680,143,1430,1222,247,370,565,440,457,326,242,222,162,258,319000,48700,86
E02000341,7683,3024,5824,5434,3104,5824,615,570,556,566,478,503,1763,1331,381,530,267,93,30,5244,631,340,87,48,29,68,212,856,168,4151,627,2268,637,6847,337,138,11,1722,170,184,91,1218,1546,232,28,3300,2697,1112,451,123,1834,1941,574,1067,491,1132,1336,556,73,1371,1387,273,247,382,276,386,429,366,308,276,434,260000,40500,117
E02000342,6453,2268,5290,4919,2659,4217,437,361,294,772,1027,462,1202,879,313,335,262,66,43,4877,369,242,107,41,51,170,137,392,67,3480,452,2069,452,5807,273,82,15,1254,96,122,67,1212,723,312,21,3080,2312,743,251,67,1148,1537,1198,1077,1419,771,1026,471,67,1298,1063,231,223,372,386,388,307,262,260,146,315,289995,41800,81
E02000343,6675,2699,5390,4854,2967,5373,395,394,392,480,483,409,1271,1345,411,559,356,122,58,4889,461,230,118,20,40,97,112,546,162,3867,565,1738,505,6191,180,71,10,1465,106,162,94,1508,935,228,28,2905,2336,1001,345,88,1478,1784,576,1216,377,803,1172,724,114,1296,1360,197,286,483,337,437,416,281,252,191,284,335000,46200,85
E02000344,6387,2476,5241,4680,3174,5132,347,339,369,405,437,404,1271,1299,407,548,378,118,65,4951,375,177,125,23,58,82,111,370,115,4017,488,1394,488,5918,147,68,17,1482,75,199,65,1896,283,280,17,3013,2279,774,256,65,1221,1810,674,1268,400,512,1121,843,134,1373,1472,195,315,510,414,553,416,284,256,177,249,365498,51800,83
E02000345,8838,2693,5665,5429,3081,5655,1232,943,830,675,782,761,1778,1003,287,311,157,47,32,4078,2180,295,174,47,84,37,93,832,1018,1804,4990,883,1161,6359,898,681,117,1198,199,412,156,858,636,1162,37,5759,2061,698,227,93,1812,1409,427,1321,746,1511,1017,165,197,1299,624,961,324,693,334,487,283,290,189,128,353,380500,40700,289
E02000346,6092,2563,4869,4600,2347,4802,411,343,396,406,555,628,1499,1076,230,279,205,44,20,1407,1236,434,131,56,172,180,214,1780,482,2872,1677,1036,507,4398,768,556,107,1031,253,142,192,335,1722,475,31,2631,1953,896,455,157,1342,1178,427,1260,727,1785,687,91,63,1663,336,285,194,307,279,222,281,250,239,128,447,412000,34800,141
E02000347,7956,2727,5493,5183,3009,5421,965,743,626,535,690,777,1705,1074,237,294,184,93,33,3956,1505,342,163,32,79,44,151,1019,665,1966,3393,1392,1205,6014,690,505,113,1157,200,361,171,762,1016,923,26,4936,1883,724,299,114,1573,1169,457,1791,651,1656,939,132,191,1414,538,866,277,814,477,375,228,306,185,92,255,408500,37900,251
E02000348,8120,2804,5399,5147,2798,5386,1049,810,712,557,593,744,1816,1090,224,273,194,36,22,2918,1700,370,362,29,148,58,128,1636,771,2344,3964,921,891,5878,845,610,155,1216,271,293,143,583,1325,851,45,4785,2031,826,343,135,1681,1317,439,1295,670,1803,888,113,132,1449,473,744,220,582,330,365,212,343,224,138,384,340000,34000,255
E02000350,9502,3605,7532,7335,5078,7504,742,599,530,491,765,1411,2872,1320,258,317,166,22,9,4058,1604,493,958,54,188,82,157,1394,514,2720,2778,3020,984,7673,763,491,110,1473,214,419,370,1250,869,1447,39,5397,2822,849,329,105,1253,1314,733,3544,757,2151,1208,246,322,2690,703,1363,504,1371,1227,481,341,329,280,136,409,478000,52000,224
E02000351,8523,3826,7417,7210,5350,7340,420,299,309,358,860,1700,2779,1087,211,293,147,40,20,3940,1707,524,180,54,174,152,298,1079,415,3185,1460,3169,709,7186,665,340,55,1453,183,400,422,1206,908,1664,48,4669,2665,785,291,113,834,988,638,4275,802,2432,1200,194,238,3637,555,920,570,1772,1174,492,276,287,272,112,395,485000,52300,110
